attr,accuracy
+ConvexArea,0.8888888888888888
+ConvexArea,0.8333333333333334
+ConvexArea,0.9
+ConvexArea,0.9222222222222223
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9111111111111111
+ConvexArea,0.7888888888888889
+ConvexArea,0.8888888888888888
+ConvexArea,0.8333333333333334
+ConvexArea,0.9
+ConvexArea,0.9222222222222223
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9111111111111111
-ConvexArea,0.8888888888888888
-ConvexArea,0.7888888888888889
-ConvexArea,0.9
-ConvexArea,0.8222222222222222
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9111111111111111
-ConvexArea,0.8888888888888888
-ConvexArea,0.7888888888888889
-ConvexArea,0.9
-ConvexArea,0.8222222222222222
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9111111111111111
+ConvexArea,0.7888888888888889
+ConvexArea,0.8888888888888888
+ConvexArea,0.8333333333333334
+ConvexArea,0.9
+ConvexArea,0.9222222222222223
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9111111111111111
+ConvexArea,0.7888888888888889
+ConvexArea,0.8888888888888888
+ConvexArea,0.8333333333333334
+ConvexArea,0.9
+ConvexArea,0.9222222222222223
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9111111111111111
-Extent,0.5
-Extent,0.9111111111111111
-Extent,0.6777777777777778
-Extent,0.7222222222222222
-Extent,0.9
-Extent,0.9111111111111111
-Extent,0.9
-Extent,0.7666666666666667
-Extent,0.5
-Extent,0.9111111111111111
-Extent,0.6777777777777778
-Extent,0.8333333333333334
-Extent,0.9
-Extent,0.9111111111111111
-Extent,0.9
-Extent,0.5
-Extent,0.5
-Extent,0.7333333333333333
-Extent,0.8
-Extent,0.9222222222222223
-Extent,0.9111111111111111
-Extent,0.9222222222222223
-Extent,0.9111111111111111
-Extent,0.5
-Extent,0.5
-Extent,0.7333333333333333
-Extent,0.8
-Extent,0.9222222222222223
-Extent,0.9111111111111111
-Extent,0.9222222222222223
-Extent,0.9111111111111111
+Extent,0.4888888888888889
+Extent,0.5
+Extent,0.9111111111111111
+Extent,0.6777777777777778
+Extent,0.7333333333333333
+Extent,0.9
+Extent,0.9111111111111111
+Extent,0.9
+Extent,0.7777777777777778
+Extent,0.5
+Extent,0.9111111111111111
+Extent,0.6777777777777778
+Extent,0.8333333333333334
+Extent,0.9
+Extent,0.9111111111111111
+Extent,0.9
+Extent,0.5
+Extent,0.5
+Extent,0.7333333333333333
+Extent,0.8
+Extent,0.9222222222222223
+Extent,0.9111111111111111
+Extent,0.9222222222222223
+Extent,0.9111111111111111
+Extent,0.5
+Extent,0.5
+Extent,0.7333333333333333
+Extent,0.8
+Extent,0.9222222222222223
+Extent,0.9111111111111111
+Extent,0.9222222222222223
+Extent,0.9111111111111111
-Extent,0.8888888888888888
-Extent,0.7888888888888889
-Extent,0.9111111111111111
-Extent,0.8222222222222222
-Extent,0.9111111111111111
-Extent,0.9
-Extent,0.9111111111111111
-Extent,0.9111111111111111
-Extent,0.8888888888888888
-Extent,0.7888888888888889
-Extent,0.9111111111111111
-Extent,0.8222222222222222
-Extent,0.9111111111111111
-Extent,0.9
-Extent,0.9111111111111111
-Extent,0.9111111111111111
-Extent,0.7888888888888889
-Extent,0.8888888888888888
-Extent,0.8333333333333334
-Extent,0.9
-Extent,0.9222222222222223
-Extent,0.9222222222222223
-Extent,0.9111111111111111
-Extent,0.9111111111111111
-Extent,0.7888888888888889
-Extent,0.8888888888888888
-Extent,0.8333333333333334
-Extent,0.9
-Extent,0.9222222222222223
-Extent,0.9222222222222223
-Extent,0.9111111111111111
-Extent,0.9111111111111111
+Extent,0.8888888888888888
+Extent,0.7888888888888889
+Extent,0.9
+Extent,0.8222222222222222
+Extent,0.9111111111111111
+Extent,0.9
+Extent,0.9111111111111111
+Extent,0.9111111111111111
+Extent,0.8888888888888888
+Extent,0.7888888888888889
+Extent,0.9
+Extent,0.8222222222222222
